episode_id,category,person,role,credited
S20-E10,Casting Department,Bonita Pietila,casting,true
S20-E13,Casting Department,Bonita Pietila,casting,true
S20-E14,Casting Department,Bonita Pietila,casting,true
S20-E4,Animation Department,Adam Kuhlman,additional timer,true
S20-E19,Animation Department,Adam Kuhlman,additional timer,true
S20-E20,Animation Department,Adam Kuhlman,additional timer,true
S20-E1,Animation Department,Carlton Batten,additional timer,true
S20-E8,Animation Department,Carlton Batten,additional timer,true
S20-E9,Animation Department,Carlton Batten,additional timer,true
S20-E13,Animation Department,Carlton Batten,additional timer,true
S20-E15,Animation Department,Carlton Batten,additional timer,true
S20-E6,Animation Department,Jack Dyer,additional timer,true
S20-E11,Animation Department,Jack Dyer,additional timer,true
S20-E14,Animation Department,Jack Dyer,additional timer,true
S20-E17,Animation Department,Jack Dyer,additional timer,true
S20-E19,Animation Department,Jack Dyer,additional timer,true
S20-E19,Animation Department,Jeremy Robinson,additional timer,true
S20-E10,Animation Department,Karen Carnegie Johnson,additional timer,true
S20-E13,Animation Department,Karen Carnegie Johnson,additional timer,true
S20-E10,Animation Department,Larry Smith,additional timer,true
S20-E18,Animation Department,Larry Smith,additional timer,true
S20-E21,Animation Department,Larry Smith,additional timer,true
S20-E11,Animation Department,Patrick Buchanan,additional timer,true
S20-E13,Animation Department,Patrick Buchanan,additional timer,true
S20-E17,Animation Department,Patrick Buchanan,additional timer,true
S20-E2,Animation Department,Ray Claffey,additional timer,true
S20-E3,Animation Department,Ray Claffey,additional timer,true
S20-E7,Animation Department,Richard Gasparian,additional timer,true
S20-E5,Animation Department,Robert Ingram,additional timer,true
S20-E1,Animation Department,Sam Im,additional timer,true
S20-E5,Animation Department,Sam Im,additional timer,true
S20-E20,Animation Department,Sam Im,additional timer,true
S20-E21,Animation Department,Sam Im,additional timer,true
S20-E14,Animation Department,Scott Brutz,additional timer,true
S20-E15,Animation Department,Scott Brutz,additional timer,true
S20-E17,Animation Department,Scott Brutz,additional timer,true
S20-E20,Animation Department,Scott Brutz,additional timer,true
S20-E21,Animation Department,Scott Brutz,additional timer,true
S20-E19,Animation Department,Timothy Bailey,additional timer,true
S20-E20,Animation Department,Timothy Bailey,additional timer,true
S20-E21,Animation Department,Timothy Bailey,additional timer,true
S20-E1,Animation Department,Tom Mazzocco,additional timer,true
S20-E2,Animation Department,Tom Mazzocco,additional timer,true
S20-E3,Animation Department,Tom Mazzocco,additional timer,true
S20-E4,Animation Department,Tom Mazzocco,additional timer,true
S20-E5,Animation Department,Tom Mazzocco,additional timer,true
S20-E6,Animation Department,Tom Mazzocco,additional timer,true
