name,birthdate,birth_name,birth_place,birth_region,birth_country,height_meters,nickname
Marc Wilmore,1963-05-04,Marc Edward Wilmore,,California,USA,,
Valentina Garza,1975-03-30,Valentina Lantigua,USA,,,,
J. Stewart Burns,1969-12-04,Joseph Stewart Burns,USA,,,,
Stephanie Gillis,1969-10-02,Stephanie Katina Gillis,USA,,,,
Laurie Biernacki,,Laurie D Templeton,,,,,
Matthew Faughnan,,Matthew C Faughnan,,,,,
Ron Hauge,,,,,,,
James L. Brooks,1940-05-09,James Lawrence Brooks,Brooklyn,New York,USA,1.85,Jim
Joel H. Cohen,,,,,,,
Jeff Westbrook,,,,,,,
Chris Clements,,,,,,,
Scott Brutz,,,,,,,
Tom Klein,,,,,,,
Mike B. Anderson,,,,,,,
Bob Anderson,,,,,,,
Dan Castellaneta,1957-10-29,Daniel Louis Castellaneta,Chicago,Illinois,USA,1.75,Doofus
Matt Groening,1954-02-15,Matthew Abram Groening,Portland,Oregon,USA,1.75,
Ian Maxtone-Graham,1959-07-03,Ian Howes Maxtone-Graham,New York City,New York,USA,2.03,
Kevin Curran,1957-02-27,Kevin Patrick Curran,Hartford,Connecticut,USA,1.89,
Hank Azaria,1964-04-25,Henry Albert Azaria,New York City,New York,USA,1.82,
Michael Price,1958-10-22,Michael William Price,South Plainfield,New Jersey,USA,1.93,
Harry Shearer,1943-12-23,Harry Julius Shearer,Los Angeles,California,USA,1.69,
John Frink,1959-05-05,John Eric Frink,Whitesboro,New York,USA,,
Matt Selman,1971-09-09,Matthew David Selman,Watertown,Massachusetts,USA,,
Don Payne,1964-05-05,William Donald Payne,Wilmington,North Carolina,USA,,
Al Jean,1961-01-09,Alfred Ernest Jean III,,Michigan,USA,1.88,
Tim Long,1969-06-14,Timothy Long,Brandon,Manitoba,Canada,,
Alf Clausen,1941-03-28,,Minneapolis,Minnesota,USA,,
Brian Kelley,1972-04-18,Brian Holland Kelley,,Connecticut,USA,,
Billy Kimball,1959-07-08,,Long Island,New York,USA,,
Bobby Mackston,1958-08-22,Robert Mackston,,California,USA,,
Colm Meaney,1953-05-30,,Dublin,,Ireland,1.8,
Erika Isabel Vega,1982-12-11,,Los Angeles,California,USA,,
Larina Jean Adamson,1956-05-15,,Los Angeles,California,USA,,
Jesse D. Miller,1985-06-22,,Pasadena,California,USA,,
Richard Manginsay,1971-10-04,Richard Gaid Manginsay,Cagayan,,Philippines,,
Nancy Kruse,1965-08-26,Nancy Lynn Kruse,,California,USA,,
Eric S. Keyes,1969-05-28,,Orange County,California,USA,,
Lance Kramer,1966-02-08,,Bismarck,North Dakota,USA,,
James Anthony Marquez,1971-11-16,,Fresno,California,USA,,
Markéta Irglová,1988-02-28,,Valasské Mezirící,,Czechoslovakia,1.6,
Richard Sakai,1954-01-28,,San Francisco,California,USA,,
Mike Battle,1978-09-16,,Rochester,New York,USA,,
Chuck Sheetz,1960-12-31,Charles Edward Sheetz,USA,,,,
Karl Wiedergott,1969-02-08,Karl Aloyce Treaton,Germany,,,,
Pamela Hayden,1953-11-28,,USA,,,1.63,
Max Pross,1957-03-22,,,Boston,USA,,
Jefferson R. Weekley,1961-06-12,Jefferson Ralph Weekley,USA,,,,
Scott D. Greenberg,1974-12-21,,,New York,USA,,
Matthew Schofield,1971-11-18,Matthew Robert Schofield,Australia,,,,
Patty Shinagawa,1951-02-22,Patricia Ann Shinagawa,USA,,,,
Lynna Blankenship,1967-01-08,Lynna Paige Blankenship,USA,,,,
Mike Reiss,1959-09-15,Michael Louis Reiss,,,,1.71,
Jeff Topping,1955-04-04,,Toronto,,Canada,,
Carolyn Omine,1962-07-06,,USA,,,,
Sooan Kim,1954-01-26,,unknown,,,,
Nelson Shin,,,Pyongsan,,North Korea,,
Michael Polcino,1962-04-27,,USA,,,,
Richard Hinds Jr.,,,,,,1.7,
Sam Im,,Samuel Sungbin Im,,,,,
Lena Podesta,,Lena R Podesta,,,,,
Jon L. Hooper,,,,,,,Hoops
Victor Pesavento,,,,,,1.88,
Amy Rychlick,,Amy Melissa Rychlick,,,,,
Charles Ragins,,,,,,1.85,
Travis Powers,,Travis F. Powers,,,,,
Karen Carnegie Johnson,,Karen Lisa Carnegie,,,,,
Felix Sanchez,,,,,,,
Victor E. Almaguer,,,,,,,
N. Vyolet Diaz,,,,,,,
Rick Salonga,,,,,,,
Jim Reardon,,,,,,,
Derek Casari,,,,,,,
Alex Ruiz,,,,,,,
Martin Alvarez,,,,,,,
Cynthia Neill Knizek,,,,,,,
Tommy Tejeda,,,,,,,
Ely Lester,,,,,,,
Teresa Potter-Heimark,,,,,,,
Beth S. Morris,,,,,,,
Sean Coons,,,,,,,
Andrea Schell,,,,,,,
