episode_id,stars,votes,percent
S20-E1,2,16,1.3
S20-E1,3,20,1.7
S20-E1,4,36,3.0
S20-E1,5,49,4.1
S20-E1,1,67,5.6
S20-E1,9,102,8.6
S20-E1,6,133,11.2
S20-E1,8,231,19.4
S20-E1,10,232,19.5
S20-E1,7,306,25.7
S20-E10,2,9,1.0
S20-E10,3,21,2.3
S20-E10,4,30,3.3
S20-E10,1,44,4.8
S20-E10,5,59,6.5
S20-E10,9,66,7.2
S20-E10,10,125,13.7
S20-E10,6,135,14.8
S20-E10,8,144,15.8
S20-E10,7,278,30.5
S20-E11,4,18,2.0
S20-E11,2,18,2.0
S20-E11,3,19,2.1
S20-E11,1,48,5.2
S20-E11,5,66,7.2
S20-E11,9,73,7.9
S20-E11,10,127,13.8
S20-E11,6,138,15.0
S20-E11,8,143,15.6
S20-E11,7,269,29.3
S20-E12,2,17,1.9
S20-E12,3,28,3.1
S20-E12,4,34,3.8
S20-E12,1,49,5.4
S20-E12,5,51,5.6
S20-E12,9,67,7.4
S20-E12,10,125,13.8
S20-E12,8,127,14.0
S20-E12,6,131,14.5
S20-E12,7,276,30.5
S20-E13,2,18,1.7
S20-E13,3,26,2.5
S20-E13,4,30,2.9
S20-E13,5,58,5.5
S20-E13,1,61,5.8
S20-E13,9,98,9.3
S20-E13,6,106,10.1
S20-E13,8,178,17.0
S20-E13,10,224,21.4
S20-E13,7,250,23.8
S20-E14,2,27,2.8
S20-E14,3,29,3.0
S20-E14,9,45,4.7
S20-E14,4,48,5.0
S20-E14,1,77,8.0
S20-E14,5,89,9.3
S20-E14,8,105,11.0
S20-E14,10,120,12.5
S20-E14,7,202,21.1
S20-E14,6,215,22.5
S20-E15,3,22,2.5
S20-E15,4,27,3.1
S20-E15,2,27,3.1
S20-E15,9,49,5.6
S20-E15,1,53,6.1
S20-E15,5,73,8.4
S20-E15,8,115,13.2
S20-E15,10,123,14.1
S20-E15,6,160,18.4
S20-E15,7,222,25.5
S20-E16,2,13,1.4
S20-E16,4,17,1.8
S20-E16,3,19,2.0
S20-E16,1,43,4.5
S20-E16,5,50,5.3
S20-E16,9,77,8.1
S20-E16,6,119,12.6
S20-E16,10,138,14.6
S20-E16,8,193,20.4
S20-E16,7,279,29.4
S20-E17,2,14,1.4
S20-E17,3,21,2.2
S20-E17,4,25,2.6
S20-E17,5,44,4.5
S20-E17,1,45,4.6
S20-E17,9,80,8.2
S20-E17,6,126,12.9
S20-E17,8,173,17.7
S20-E17,10,191,19.6
S20-E17,7,257,26.3
S20-E18,3,16,1.8
S20-E18,2,18,2.0
S20-E18,4,21,2.3
S20-E18,1,43,4.8
S20-E18,9,64,7.1
S20-E18,5,71,7.9
S20-E18,6,116,12.9
S20-E18,8,130,14.4
S20-E18,10,155,17.2
S20-E18,7,267,29.6
S20-E19,2,12,1.2
S20-E19,3,21,2.1
S20-E19,4,28,2.8
S20-E19,1,47,4.7
S20-E19,5,56,5.6
S20-E19,9,81,8.2
S20-E19,6,131,13.2
S20-E19,10,181,18.2
S20-E19,8,183,18.4
